NO;KECAMATAN;KODE;NAMA MAJELIS TA'LIM;NO. STATISTIK MT;TGL TAHUN BERDIRI;ALAMAT;NO. TGL SURAT KELUAR;STATUS TANAH;TTD SK;No. URUT AGENDA BBSK
1;Sawangan;3;Sabilul Huda;432123276030001;01/11/2011;Komp. Sawangan Permai;;;;
;;;(Yayasan Wakaf Al Faqih Mandiri);;;Jl. Permata Blok B3;;;;
;;;021-29233661;;;No. 7/8 Pasir Putih;;;;
;;;;;;;;;;
2;Sawangan;3;El Fawwaz Sawangan Baru;432123276030002;;Jl. Gedung YBCI, Jl. Jati;;;;
;;;;;;No. 3A, RT. 03/05, Kelurahan;;;;
;;;;;;Sawangan Baru, Kec. Sawangan;;;;
;;;;;;Kota Depok;;;;
;;;;;;;;;;
3;Sawangan;3;MT. Al Hilya;MT. 622633030003;;Jl. Raya Muchtar, Gg. Rambutan;;;;
;;;;;;RT. 01/01, Kel. Sawangan;;;;
;;;;;;Kec. Sawangan;;;;
;;;;;;;;;;
4;Sawangan;3;MT. Hizb. Hirzil Jausyah;MT. 622633030004;;Jl. Pasir Putih, No. 38, RT. 005/003;;;;
;;;Wal Burdah;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
5;Sawangan;3;MT. Latar Hati;MT. 622633030005;;;;;;
;;;;;;;;;;
6;Sawangan;3;MT. Zikir Anadir;MT. 622633030006;;;;;;
;;;;;;;;;;
7;Sawangan;3;MT. Miftahul Fikri;MT. 622633030007;;;;;;
;;;;;;;;;;
8;Sawangan;3;MT. Ikatan Remaja Masjid;MT. 622633030008;;;;;;
;;;Al Mujahidin;;;;;;;
;;;;;;;;;;
9;Sawangan;3;MT. Al Jihadiyah;MT. 622633030009;;;;;;
;;;;;;;;;;
10;Sawangan;3;MT. Baitur Rasyidin;MT. 622633030010;;Jl. Caringin RT. 01/09, No. 26;;;;
;;;;;;Kel. Bedahan;;;;
;;;;; ;;;;;
11;Sawangan;3;;MT. 622633030011;;;;;;
;;;;;;;;;;
12;Sawangan;3;;MT. 622633030012;;;;;;
;;;;;;;;;;
13;Sawangan;3;MT. Khoiril Huda;MT. 622633030013;;Jl. Caringin, RT. 03/01;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
14;Sawangan;3;MT. Darussalam;MT. 622633030014;;Kp. Cinangka, RT. 003/001;;;;
;;;;;;Kel. Kedaung, Kec. Sawangan;;;;
;;;;;;;;;;
15;Sawangan;3;Formasi Forum Majelis Silaturahmi;MT. 622633030015;;Jl. Raya Pengasinan, Gg. H. Saudin;;;;
;;;;;;RT. 04/03, No. 57, Kel. Pengasinan;;;;
;;;;;;Kec. Sawangan;;;;
;;;;;;;;;;
16;Sawangan;3;Majelis Al Mubarok 33;MT. 622633030016;;Jl. Sukatani, No. 48B, RT. 001/004;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
17;Sawangan;3;MT. Sunatul Huda;MT. 622633030017;;Jl. H. Sulaiman, No. 99, RT. 02/02;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
18;Sawangan;3;MT. Telaga Harapan Umat;MT. 622633030018;;Perumahan Telaga Golf Cluster;;;;
;;;;;;Belanda Blok E-X, No. 17;;;;
;;;;;;Kel. Sawangan, Kec. Sawangan;;;;
;;;;;;;;;;
19;Sawangan;3;MT. Al Ikhlash;MT. 622633030019;;Jl. Al Mukhlisin, Kp. Parigi, RT.002;;;;
;;;;;;RW. 006, Kel. Bedahan;;;;
;;;;;;Kec. Sawangan;;;;
;;;;;;;;;;
;;;;;;;;;;
20;Sawangan;3;MT. Manbaul Ihsanuriyah;MT. 622633030020;;Jl. Raya Situ Pengasinan ;;;;
;;;;;;RT. 002/001, Kel. Pengasinan;;;;
;;;;;;Kec. Sawangan;;;;
;;;;;;;;;;
21;Sawangan;3;MT. An Nizham;MT. 622633030021;;Jl. Jabon RT. 01/02, Kelurahan;;;;
;;;;;;Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
22;Sawangan;3;MT. Baitussaanah;MT. 622633030022;;Jl. H. Saeran, RT. 04/03;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
23;Sawangan;3;MT. Rahmatan Lil Alamin;MT. 622633030023;;Jl. H. Kiran, RT. 02/02;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
24;Sawangan;3;MT. Al - Furqon;MT. 622633030024;;Jl. Garuda 4, RT. 003/013;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
25;Sawangan;3;MT. Malam Jumat Kp. Kekupu;MT. 622633030025;;Jl. Bambu Duri, RT. 04/07;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
26;Sawangan;3;MT. Nurul Jadid;MT. 622633030026;;Jl. Garuda 5, RT. 005/007;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
27;Sawangan;3;MT. Alif Ba Ta;MT. 622633030027;;Kp. Kekupu, RT. 02/07;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
28;Sawangan;3;MT. Al Kaisiyah;MT. 622633030028;;Kp. Kekupu, RT. 02/07;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
29;Sawangan;3;MT. Raudhatun Nur;MT. 622633030029;;Kp. Bulakk RT. 06/03;;;;
;;;;;;Kel. Cinangka, Kec. Sawangan;;;;
;;;;;;;;;;
30;Sawangan;3;Darul Muttaqin;MT. 622633030030;;Jl. Swadaya, RT. 01/03;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
31;Sawangan;3;MT. Al - Barkah;MT. 622633030031;;Jl. Sulaeman. RT. 04/04;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
32;Sawangan;3;MT. AL - Khoirot;MT. 622633030032;;Kp. Kupu, RT. 02/08;;;;
;;;;;;Kel. Pasir Putih, Kec. Sawangan;;;;
;;;;;;;;;;
33;Sawangan;3;MT. Hayatur Rahmah;MT. 622633030033;;Jl. H. Saenan, No. 72, RT. 03/09;;;;
;;;;;;Kel. Bedahan, Kec. Sawangan;;;;
;;;;;;;;;;
34;Sawangan;3;MT. Sahabat Qur'an;MT. 622633030034;;Bumi Sawangan Indah 2;;;;
